nome_com,wkt
Mesero,"MULTIPOLYGON (((8.84612445631515 45.5064037643993,8.84668991892964 45.5055854407395,8.84811120896447 45.5054163298885,8.8503645453276 45.5054643107586,8.85969138846532 45.505953183852,8.86660726908188 45.5069470641166,8.87191673124514 45.5078937574861,8.87375383558482 45.5027562998815,8.87261759603759 45.5025120086042,8.87183884316934 45.5016200696741,8.87079781285171 45.4978925377778,8.87089123017388 45.496218491095,8.85282240222754 45.4855036230076,8.84222864930705 45.4850754404898,8.84164935515414 45.4863257574881,8.84156855991924 45.4877567882283,8.83831967967823 45.4872751883519,8.837670393076 45.4861131433649,8.83785279070886 45.4849793004627,8.8394854639112 45.4822993446101,8.83829581136978 45.4821986589057,8.83253934573781 45.4817493175784,8.83076485661214 45.4846809914054,8.82986276239137 45.4868128638058,8.83190772377409 45.4876259628181,8.83360768057214 45.4882855048113,8.83456302738275 45.4889602765934,8.83465482483149 45.4890251130961,8.83598372097899 45.4901335622685,8.83755616476212 45.4946907983872,8.83778259691995 45.4960592539882,8.83708021053623 45.4999736343241,8.83616805712577 45.5011514247882,8.83263610261066 45.5009302987063,8.83255545614758 45.5022262917142,8.83450880479857 45.5039302941477,8.83921535404469 45.5052781422448,8.84540340810881 45.5079419312866,8.84612445631515 45.5064037643993)))"
Melzo,"MULTIPOLYGON (((9.43029594785695 45.5137886991438,9.43345759123676 45.5126786501488,9.43867626726745 45.5131267590759,9.4403086373281 45.5090341145133,9.44195426920367 45.5050313863338,9.44394389426092 45.5024854211755,9.44897657369801 45.5008771134169,9.45398225495778 45.4993271809455,9.45398174437942 45.4959788591896,9.45327170071353 45.4943165217105,9.45039046187324 45.4922937356047,9.44778958992484 45.4902967637609,9.44428493310342 45.487259162082,9.43479016206949 45.4838303492885,9.42985909821856 45.4830929508879,9.42401101253148 45.4845009378959,9.42172562221359 45.485067444382,9.41912263422396 45.485950121985,9.41716989213876 45.486632333695,9.40886942593794 45.4904157026237,9.40859593057792 45.4906439602152,9.40764264778276 45.492319262425,9.40800538701937 45.4929300409892,9.40765415088321 45.4955775339559,9.40721219281176 45.4964071915222,9.40394603592402 45.5011892371667,9.39829450631872 45.507118140611,9.39735327146469 45.5087046347239,9.40908582406859 45.5124624966212,9.41017788601731 45.5129986326819,9.41207327394715 45.5130908181694,9.41710011342985 45.5124965205805,9.41745793754702 45.5124141969952,9.4171658004794 45.5109931415214,9.4229693692326 45.5115838537737,9.42805426133843 45.513617097843,9.42840055337175 45.5153889727492,9.42826928949463 45.5166495736756,9.42664478177247 45.5185368275534,9.42920119168291 45.5179782035394,9.43141609215006 45.5162956947349,9.43132781231405 45.5147928907866,9.43029594785695 45.5137886991438)))"
Melegnano,"MULTIPOLYGON (((9.33503331291038 45.3688506870965,9.33508006250893 45.3659522200437,9.33537234325527 45.3635570767756,9.3362283866727 45.3614933057659,9.33685558984825 45.353156473785,9.3370908658744 45.3476291097274,9.33639201461466 45.3488395514791,9.33521280467288 45.3506083720739,9.33389579874636 45.3513109413699,9.32301438547784 45.3516395865256,9.32277955924913 45.3526030409477,9.32213561195487 45.3537119996023,9.32103786251541 45.3529326780309,9.30867975729529 45.3439559776229,9.30822778283631 45.34355453705,9.29830530056146 45.3538896253706,9.3018123651201 45.3552841846245,9.30787602985778 45.3577883055759,9.31512395320136 45.3609054468554,9.31525904417646 45.3609635476842,9.3293673415049 45.3672829898691,9.33414011712628 45.3689613090266,9.33503331291038 45.3688506870965)))"
Mediglia,"MULTIPOLYGON (((9.34767509387134 45.4372356470832,9.34682544951972 45.4368065942708,9.34699006682376 45.4359141869456,9.3485305770599 45.4344318866893,9.35108072283656 45.4321471341799,9.354036339414 45.4316119713637,9.36677691954993 45.4294227387093,9.37376850721244 45.4282583250559,9.37444548607068 45.4281455525865,9.37581648228561 45.4297390935733,9.37702519640401 45.4311912641909,9.37727523984903 45.4316248606398,9.38286403890224 45.4290566181589,9.38399261149686 45.4277116858397,9.38396324217263 45.4234993263269,9.38589098279006 45.4232768201176,9.38604082429997 45.4183032662803,9.37235027911527 45.4221786356438,9.37141872291368 45.4239127698217,9.37130538643293 45.4239785861313,9.37096820092949 45.4240871487716,9.37081384927001 45.4239257720942,9.367862043704 45.4204524341822,9.36680882128212 45.4191879587271,9.35994384134265 45.4108265240791,9.35948116251602 45.4102620567067,9.35455058953557 45.399466770227,9.35451857880852 45.3993949398572,9.35447076865212 45.3992824055603,9.35422055071395 45.3986762170073,9.354087341628 45.3980393641789,9.35407568897395 45.397983582357,9.35481645310534 45.3979452813985,9.35572511643795 45.3981944859803,9.3562402165726 45.3988409485502,9.35940275014532 45.3999111662555,9.36014536547422 45.4001608579522,9.36509654946253 45.3972288149631,9.36574504684085 45.3967496849734,9.36561771578666 45.3908724242884,9.36551837569518 45.3893335696629,9.36526290080767 45.3873541601844,9.36053952051035 45.385793991658,9.36005367953484 45.3857235204994,9.35851976984993 45.3855483178185,9.35461713926302 45.3865056177573,9.35317622423508 45.3869061201836,9.35144363388417 45.3876495474379,9.34853448860198 45.3881805155274,9.34226557789625 45.3886855423392,9.34064254886041 45.3885643791085,9.33780095298894 45.3889137014853,9.32787132786851 45.3891733020103,9.32700224063752 45.3890947941628,9.32522630216713 45.3888928313516,9.32227152936893 45.3880551185367,9.32231718061944 45.3872358894173,9.32154012422665 45.3870490751571,9.32104166020695 45.387140472237,9.3207427949231 45.3872313257181,9.32054497104635 45.3874028942093,9.31657492645932 45.3910053883344,9.31221363049039 45.3963009860788,9.30239347861803 45.4069935871158,9.30009774735735 45.4093939088847,9.29768687179438 45.4140897207392,9.29742841424643 45.4158995999286,9.29767292626569 45.4162229954695,9.30662928099163 45.4223784701155,9.31180339606496 45.4255102950468,9.32086818574474 45.4264528072823,9.32139747820754 45.4255422111927,9.32111398146031 45.4251379768908,9.32122624858229 45.4246515947555,9.32304552909523 45.4231523162119,9.32596321061317 45.4237470945391,9.32613534331503 45.4237955819387,9.32650090051756 45.4238985608491,9.33266194373971 45.427053620363,9.33640465171874 45.4307870572303,9.33716583683506 45.4345221854589,9.33696827340983 45.4349458094494,9.33668899630235 45.4356521551936,9.33836263629068 45.4374239828362,9.3390431942517 45.4379170266166,9.33978524619937 45.4380048157394,9.34238486865679 45.436988957048,9.34767509387134 45.4372356470832)))"
Masate,"MULTIPOLYGON (((9.48246202659699 45.5658478334307,9.48142538789264 45.5629989740411,9.47745918668172 45.5576511648161,9.47618557442735 45.5570354360442,9.47595801584322 45.556934391431,9.47471951973331 45.5563844745814,9.47275264996555 45.5555915639228,9.47117274007861 45.5551030587198,9.46923344378214 45.5545349926058,9.46443291982977 45.5534385138414,9.45879052685108 45.5543433976969,9.45685155639433 45.5553772545968,9.45453260870202 45.5569616335887,9.45463053596633 45.5595714530307,9.45265921671884 45.5629905732918,9.45214174038202 45.5639737104072,9.45173871424736 45.5648483727257,9.45144964141456 45.5655515744692,9.45076856343736 45.5685154980869,9.45079643544089 45.568794416403,9.45181150703486 45.5723277034068,9.44937054054317 45.5763966455827,9.4504120033351 45.5816219744934,9.45545756260163 45.5794687920141,9.46472485572011 45.5733483525068,9.46580352052804 45.5720194833409,9.47372181138123 45.5687736470079,9.48246202659699 45.5658478334307)))"
Marcallo con Casone,"MULTIPOLYGON (((8.88797384652799 45.5052193673394,8.8891422905552 45.5052114938337,8.89430896439573 45.4978626998429,8.89437678382488 45.495810571902,8.89204956078316 45.4952923631534,8.89220547421501 45.4935133398795,8.8926044458509 45.4920932269216,8.89309145428486 45.4919660138219,8.89280497901171 45.4820175838683,8.89231318253358 45.4821183504937,8.89167396877229 45.4822482569287,8.88940563035116 45.4826691205979,8.88179567246445 45.4840116260437,8.88170648636767 45.484016031452,8.88045486807191 45.4836726900108,8.88090714351089 45.4827010747994,8.88112311424788 45.4822559951736,8.88120833276348 45.4820803364126,8.88165347904474 45.4807345604513,8.88121238922943 45.4803868281815,8.87830799156979 45.4783316656992,8.87253621363946 45.47511953012,8.86471657507775 45.4746227590131,8.86456316239194 45.4745820786418,8.86363157407732 45.4727543639596,8.84894996084137 45.4755210942269,8.84030099243933 45.4789611696796,8.8394854639112 45.4822993446101,8.83785279070886 45.4849793004627,8.837670393076 45.4861131433649,8.83831967967823 45.4872751883519,8.84156855991924 45.4877567882283,8.84164935515414 45.4863257574881,8.84222864930705 45.4850754404898,8.85282240222754 45.4855036230076,8.87089123017388 45.496218491095,8.87079781285171 45.4978925377778,8.87183884316934 45.5016200696741,8.87261759603759 45.5025120086042,8.87375383558482 45.5027562998815,8.88797384652799 45.5052193673394)))"
Magnago,"MULTIPOLYGON (((8.80416013070412 45.6026261838875,8.80743947529759 45.6026099463964,8.80863865099209 45.6001821191457,8.81212506512207 45.5942152043772,8.81370392549258 45.5917839325739,8.81616278193018 45.5886077057138,8.82186620831305 45.5818344118964,8.82523630632793 45.5823912611468,8.82634429072005 45.5825876965354,8.82851392699527 45.5830128419687,8.82940474652366 45.5833727253902,8.83025003973698 45.5836079967682,8.83141606171699 45.5837447305319,8.8350297469615 45.5840920386486,8.83573033628429 45.5810913628889,8.83573178444021 45.580972763453,8.83575009009336 45.5788276192953,8.83581285518939 45.5780341854436,8.83724522206252 45.5714941547157,8.83807141775508 45.5693981520858,8.83022257082808 45.5629331885206,8.81878666998523 45.5609174624837,8.81574359535186 45.5628837470459,8.81577453761285 45.5651789906426,8.81164646362595 45.5619409920924,8.80456368174245 45.5611010228309,8.80271892056917 45.5610168550228,8.79879773166721 45.5611360272248,8.79884727851139 45.5616131378346,8.79935085370937 45.5641252409178,8.7881015961087 45.5672281918905,8.78343717372571 45.5672284397689,8.78364729257163 45.5701857935212,8.78366095393138 45.5703599052584,8.78386910388575 45.5715374437025,8.78424543428364 45.572129206922,8.78575399387219 45.574369521734,8.78899832161152 45.5791783113746,8.7894839901328 45.5798170603642,8.78969518380964 45.580094736247,8.78978310717484 45.5802103358682,8.79102945966975 45.5810361377037,8.79243868109248 45.5817408193296,8.79393204264498 45.5824820962786,8.79507695153158 45.583037639326,8.79780675061597 45.592623331191,8.79780654563118 45.5930717149185,8.79794334041284 45.5966124084257,8.80030207647438 45.6030459795646,8.80416013070412 45.6026261838875)))"
Magenta,"MULTIPOLYGON (((8.89280497901171 45.4820175838683,8.90073861020502 45.4805868164113,8.90061184500605 45.4799116424011,8.90037922573886 45.4739708708602,8.90082128951104 45.4714862854251,8.9019898293303 45.4699016073211,8.90366519227593 45.4686778374527,8.90539005563116 45.4687816048699,8.90628939894865 45.4664331208578,8.90790128773302 45.4584776266878,8.90812810118861 45.452699232707,8.90454871261434 45.4518862213115,8.89307681980808 45.4465918910446,8.89082810833037 45.4460154011996,8.8901509480798 45.4471634783179,8.89031879529288 45.4476191783121,8.89054259154601 45.4482333704413,8.89048559764912 45.4486294420227,8.88820714107864 45.4488451048836,8.88567573849638 45.4489812405678,8.88438247847125 45.4487620687879,8.88095286679661 45.4480653396297,8.87279698052598 45.4478315809111,8.86910526602662 45.4495018530242,8.86568754848741 45.450938032973,8.86476740164254 45.4506939332289,8.86139505801732 45.449195731401,8.85853700842436 45.446644958315,8.85855080128458 45.4462399453212,8.85927293940507 45.4438015706951,8.85997898170189 45.4426683288591,8.86123816503001 45.44016760878,8.86068486365666 45.4391204230871,8.86050216481459 45.4388164462802,8.85886827262391 45.4368613643753,8.85276801680467 45.4326772158079,8.83909906768107 45.4247289316219,8.83315149600963 45.4217140753557,8.83204054501797 45.4213614085006,8.82560159541939 45.4204366707989,8.82393472820966 45.4303726661969,8.8274021976737 45.4335283022083,8.81907296769441 45.4356561394555,8.81750907053021 45.4369557759494,8.81681631279961 45.4376837470486,8.81628719147757 45.4431464721406,8.81775773446211 45.4470822363475,8.82222884169326 45.4492099914143,8.82809721873422 45.4512483973815,8.83284222866779 45.4528748933755,8.83540477423295 45.455596892243,8.8361289118302 45.4579458006229,8.83611787839677 45.4582914566391,8.84378251153875 45.4600816423649,8.85399188381825 45.4637319737488,8.86402662773168 45.4703635076716,8.86382980104405 45.4716885542394,8.86369868313289 45.472521439903,8.86363157407732 45.4727543639596,8.86456316239194 45.4745820786418,8.86471657507775 45.4746227590131,8.87253621363946 45.47511953012,8.87830799156979 45.4783316656992,8.88121238922943 45.4803868281815,8.88165347904474 45.4807345604513,8.88120833276348 45.4820803364126,8.88112311424788 45.4822559951736,8.88090714351089 45.4827010747994,8.88045486807191 45.4836726900108,8.88170648636767 45.484016031452,8.88179567246445 45.4840116260437,8.88940563035116 45.4826691205979,8.89167396877229 45.4822482569287,8.89231318253358 45.4821183504937,8.89280497901171 45.4820175838683)))"
Locate di Triulzi,"MULTIPOLYGON (((9.22440382994374 45.3901030358652,9.22785749903327 45.3883725003905,9.23605878338132 45.3888599069008,9.23750247050444 45.3860575870658,9.23889447518015 45.3831473487467,9.24058182752677 45.3777251910751,9.24500132725092 45.3694438267217,9.24584038132383 45.3686679369912,9.24665618428873 45.368432156203,9.24739576120816 45.3681875210527,9.24794221459572 45.3676822906316,9.24842496642397 45.367114169832,9.24881663243844 45.3662492159423,9.24891985776022 45.3659767369682,9.24919529805601 45.3652492775738,9.25001025269704 45.3628967294515,9.24811266733716 45.3613997798193,9.24738224602629 45.3539998617571,9.24918920580984 45.3503201074724,9.24482679583479 45.3460793292416,9.23865354332954 45.340400281112,9.24079142604096 45.3377174809027,9.24335279351506 45.3347578909009,9.24422506287328 45.3336918191918,9.24318456291558 45.3294011491562,9.2430843947279 45.32935287068,9.24071611583012 45.3288775662753,9.23055048187225 45.3343365732511,9.22750760137045 45.337850235017,9.21812537653424 45.3465275988772,9.21237208854964 45.3536492922344,9.20400993037405 45.3594297179432,9.20357816232291 45.3596285090926,9.2032694580964 45.3597730849613,9.20288799112535 45.3602058053711,9.20191613467088 45.3631418796028,9.20166444057979 45.3641774398896,9.20184204587312 45.3653824624015,9.20410653200152 45.3633602658051,9.20515765945739 45.3624991656106,9.20735661904568 45.3616359775607,9.21759554892573 45.3646947371135,9.21764801568714 45.3647691848153,9.21879089142185 45.3669231720594,9.21822891103011 45.3680264073602,9.21775780577682 45.3692093408948,9.21769121122115 45.3695608967789,9.21755918304655 45.3705674684384,9.21758648607066 45.371515576983,9.21772826016686 45.3733145898836,9.21791150427294 45.3738413641013,9.21866089573325 45.3743351099467,9.2225151178554 45.3763015930806,9.22603373764704 45.3771001457603,9.22746169390439 45.3773049712575,9.23179279393555 45.3783824579396,9.23147851872041 45.379085914213,9.230128670101 45.3817341959962,9.22917772598432 45.3833652773841,9.22858031777343 45.3840865666793,9.22564738140578 45.3851005036376,9.22272459481155 45.3854752914208,9.22133183549828 45.388425832095,9.22123077627767 45.3887140605435,9.22095474234909 45.3898937311209,9.22349909963147 45.3905728510002,9.22440382994374 45.3901030358652)))"
Liscate,"MULTIPOLYGON (((9.40764264778276 45.492319262425,9.40859593057792 45.4906439602152,9.40886942593794 45.4904157026237,9.41716989213876 45.486632333695,9.41912263422396 45.485950121985,9.42172562221359 45.485067444382,9.42401101253148 45.4845009378959,9.42985909821856 45.4830929508879,9.43248282891441 45.4799462416834,9.43319128173335 45.4789984566911,9.43327449453592 45.4781700573509,9.4331677803583 45.4776034200284,9.43209661873728 45.4747181796425,9.43527853580227 45.4697566725274,9.43236673707303 45.4684255449105,9.43452276326725 45.4645469756256,9.43553390457176 45.4629679700008,9.43574644388858 45.4624360987452,9.43561486270004 45.4619595507752,9.4202393304439 45.4530612414943,9.41968710497259 45.4527482369125,9.41925164387712 45.4525518194093,9.41858599150803 45.4524642478985,9.41817893102514 45.4578392884755,9.40476662993094 45.471911005692,9.40028204900368 45.4742940438418,9.39587256738113 45.4766046411674,9.39473869117235 45.4771756262439,9.39060778909302 45.4776308747628,9.38961842671268 45.4785253247185,9.38776306589897 45.4804803302024,9.38405210668352 45.4844082602449,9.38188828769274 45.48692674832,9.3804601082955 45.4907568902127,9.38118959908831 45.491123483509,9.39314776215636 45.492856131613,9.39562138912391 45.4899583015447,9.40133169836984 45.4894703481088,9.40466283287454 45.4905837007533,9.404827766704 45.4906796172673,9.40580893460102 45.4912501998126,9.40764264778276 45.492319262425)))"
Legnano,"MULTIPOLYGON (((8.93986598727025 45.6236812070603,8.94179132195439 45.6224671169036,8.94338826737856 45.6210030547284,8.94256875288397 45.6148169550509,8.94013895728244 45.6116376491886,8.93278756052272 45.6110943477465,8.93054376098695 45.6107239692396,8.93208279358164 45.610010104773,8.93333133234628 45.6094457467529,8.93453184919428 45.6089274858551,8.9359967702794 45.6083419871142,8.94535073293993 45.6027124239011,8.94319838644779 45.6009112233602,8.9381809381931 45.596285834433,8.93608453123467 45.5942889493079,8.9347824530676 45.5938772039146,8.93152137911398 45.5904414795186,8.93217720464895 45.5899663422034,8.92823340784515 45.5805297322109,8.92720384863517 45.5794174869596,8.92700745594356 45.5792103541522,8.92615782738158 45.5783704866799,8.92217732061343 45.575418031803,8.91502140613755 45.5813874521201,8.91493395968338 45.5815120496201,8.9110898346666 45.5800218344186,8.90510683877661 45.577165847471,8.90591067185962 45.576269590506,8.90729414154098 45.5746902630386,8.89755746194505 45.5692763320201,8.89582009454939 45.5716838532775,8.89105977070118 45.576598517099,8.8839774387722 45.5802908280518,8.88451508828485 45.5806244101115,8.88404947912125 45.5826580898018,8.88344726873274 45.5825494747253,8.88234559885235 45.5822333177753,8.88119409028438 45.581233051331,8.88210989980403 45.5784797818186,8.88166226457697 45.5756974401412,8.88040338235728 45.5733295919507,8.87872595058758 45.5726617660666,8.87886036071681 45.5757131671629,8.87828097515846 45.576936644974,8.87727902732551 45.5779706495136,8.87612429894869 45.5785274576513,8.87517687971964 45.5780583826769,8.87481063649047 45.5756097758532,8.87639102758806 45.5737843515729,8.87219295490393 45.5713495344515,8.87072036389573 45.5708438500228,8.87046367430436 45.5711900720591,8.87007217498186 45.5718016932676,8.86704501662841 45.5768701421893,8.87194485720001 45.5790269243902,8.873006739934 45.5798921786235,8.87498931852523 45.5817305229237,8.87401817335405 45.5861217979756,8.87288726284603 45.5873896509544,8.86978915724884 45.5911664535334,8.8695961361381 45.5914812604949,8.86902962361391 45.5925336777621,8.8688938761843 45.592949492812,8.87038650385878 45.5934172529938,8.87442152905523 45.5949248756947,8.87489548809806 45.5951144120602,8.8794655058459 45.5983685643969,8.88707422185147 45.60125082563,8.90295232381881 45.6070225887718,8.91071182464482 45.6061828618441,8.91683824000314 45.6082666422093,8.92348782929357 45.6126186144327,8.92402310575697 45.6134199596183,8.92458853996421 45.6142664586106,8.9253170585329 45.6161570748744,8.92441833656015 45.6168675321789,8.9257117567516 45.618353499646,8.92969673060507 45.621497246487,8.93775663669372 45.624454129202,8.93986598727025 45.6236812070603)))"
Lainate,"MULTIPOLYGON (((9.05049844714183 45.5790965014385,9.05584732486459 45.5678629857394,9.04990492875849 45.5608172013897,9.04849767308134 45.5606820816464,9.04500900561165 45.5602427636021,9.03494765702788 45.5565111525693,9.03408452526075 45.5556344006215,9.0292989729906 45.5504765267705,9.02934483621926 45.5498268795162,9.02958871818687 45.544965367943,9.01615754006781 45.5420478840767,9.01515737142504 45.5422180503231,9.0145414026772 45.5423805493905,9.01424728674218 45.5425498541332,9.01047076701177 45.5511868789006,9.00886861387747 45.5536667336721,9.00930626546491 45.5540402176819,9.01058726050277 45.555399230181,9.00998740320807 45.5684503672362,9.00919317395599 45.5700885636764,9.00363219450802 45.5692968069216,9.0023101259796 45.5689807985707,9.00178725008427 45.5688558102639,9.0004288779682 45.5682257846665,8.99927597447932 45.5676317265735,8.99839179037462 45.5675147016862,8.99769981796886 45.5674696942715,8.99739226583785 45.5674606914295,8.99655966971134 45.5684417377876,8.99725115085157 45.5707189390834,8.99936561642263 45.5728971638484,9.00315838113746 45.5751022825322,9.00428650050843 45.5789275609654,9.00693945224073 45.5807680671245,9.0083604355779 45.5815461043829,9.00845163662089 45.5815960336289,9.01061800990643 45.582693952313,9.01214266835684 45.5814651923807,9.01220669569932 45.5811141568241,9.01976853079948 45.5831112665753,9.02251186826947 45.5838488162391,9.02555016200108 45.5856213094135,9.02673150258328 45.589401331979,9.02799884859663 45.5870878532153,9.04693587837932 45.5788369837256,9.05049844714183 45.5790965014385)))"
Lacchiarella,"MULTIPOLYGON (((9.14956010872724 45.3467843467758,9.15125940637438 45.3435168351672,9.15342034505775 45.3405075865812,9.15414595646557 45.3399665410858,9.15456739681762 45.3400559861144,9.15557606382254 45.3403426517682,9.15712136128546 45.340691580129,9.15816799491697 45.3408521534821,9.16054212557908 45.3410558762277,9.16082245214123 45.3408934630341,9.16172614353494 45.3401630945956,9.16232380577939 45.3395321645274,9.16311203849889 45.3385949317869,9.16522192899727 45.335873564611,9.1682102542016 45.3318322087935,9.17360566591279 45.3315135916664,9.1744757043076 45.3323943828407,9.17474427296888 45.3325829973642,9.18327964634515 45.3369171567711,9.18484656555305 45.3361675283891,9.18548324814838 45.3358514548809,9.18594173410728 45.3355626740577,9.19118142718967 45.3335692798753,9.19218936703045 45.3335045796365,9.198431274241 45.3342770122494,9.20085438036252 45.3347164341724,9.20278437931202 45.3357770499522,9.20293273626798 45.334728116289,9.20263851805927 45.3299895930184,9.20198939783594 45.3273563169731,9.20169394311065 45.3263188048936,9.19740072843994 45.3170461429533,9.19373918629852 45.313172926019,9.19275655925623 45.3130755778368,9.18935065326847 45.3127752281629,9.1879475744141 45.3129485798926,9.18742554598486 45.3131384634729,9.18680021431035 45.3130674643924,9.1857405776045 45.312817176782,9.18311514404984 45.3116800731902,9.18391084098117 45.3100973855608,9.1890998360923 45.3029284005215,9.19419455886613 45.2974471451045,9.20028597008717 45.2929270391943,9.20177563791772 45.2922583268042,9.20190022802919 45.2919970752928,9.19621769706251 45.2920713987059,9.19401064317906 45.292127771005,9.18717947182078 45.2929942684266,9.18548500164873 45.2934921071779,9.18509101309585 45.2939068011107,9.18490274193275 45.2948342274785,9.18033497188187 45.2991315271057,9.17979304475005 45.2998200198407,9.17944252984482 45.3000911036707,9.17909323642529 45.3003521950086,9.1778068797469 45.3005432309868,9.17189101058848 45.3008313108003,9.1669287526477 45.3005326415465,9.15910758441412 45.2989415987905,9.15203796238491 45.301759595814,9.14893644136495 45.3053371283821,9.14798254487235 45.3063915048235,9.14529732376258 45.3083482008422,9.14212662568021 45.3105574729396,9.14133645858467 45.3108464900739,9.14016268595518 45.3107759327796,9.13322159350045 45.3095870758451,9.13063452144954 45.3120257097123,9.12729116751125 45.3204537236219,9.12463837833345 45.3207266750253,9.12201152934644 45.3212155686512,9.1218491742172 45.3228449475625,9.1246548795566 45.3224368818796,9.12512757360159 45.3227063906583,9.12579431675582 45.3241908355807,9.12576929121614 45.3244068954767,9.12503175801121 45.3255598487461,9.12141868000031 45.3300058015244,9.12050063856018 45.3303488214554,9.11964608029542 45.3303632133987,9.11629490586494 45.3325674508204,9.1149373518567 45.3354941775207,9.11355388033745 45.338888975814,9.11494547417078 45.3391216250014,9.1167581023244 45.3394618155775,9.11737924424128 45.3395953069934,9.11662366723103 45.342171289136,9.11670171787826 45.3428822921875,9.11815898003722 45.3441319438941,9.12420344176845 45.3466103544086,9.12739270827991 45.3472543997496,9.12888624799816 45.3474597581411,9.13233323073583 45.347860853605,9.13371067912334 45.3475442087025,9.13424579153239 45.3472825522299,9.13457706658231 45.3470301292765,9.13525227568646 45.3466422867951,9.13629801030975 45.3462450030554,9.13941173992952 45.3462502406362,9.14148008103551 45.3466167509151,9.14348484217292 45.3470643034805,9.14491560927434 45.3476565579942,9.1488152904667 45.3502708615671,9.14956010872724 45.3467843467758)))"
Inzago,"MULTIPOLYGON (((9.48683309308387 45.5605458510705,9.49979364658224 45.5590047551483,9.49952325260744 45.5563687132927,9.49947030274092 45.5547308099879,9.50198398895108 45.5435138343292,9.50575721063711 45.5400498863691,9.50813083266137 45.5371275966888,9.49994701706646 45.5290224950359,9.49977995740619 45.5288657111408,9.49086354809632 45.527063701292,9.48714800201833 45.5268275820525,9.48341094982119 45.5270684783566,9.48198416560284 45.5234381918849,9.47994218832532 45.5242298520933,9.47847223753526 45.5245330589822,9.47677108466563 45.5247561769878,9.47150930534075 45.52333788802,9.46500973544076 45.5255067252619,9.46424449882503 45.5258788799566,9.46328581684655 45.5276469281996,9.46384673701741 45.5288957616645,9.46152471031427 45.5315154070784,9.45985533654282 45.5388127658479,9.46090620739059 45.5404556840629,9.46175433047885 45.5423604318367,9.46095560270057 45.5444428196786,9.45698392980414 45.5473162040671,9.45671098953625 45.5475111434838,9.45569070291032 45.5477747446386,9.45426937431873 45.5481419253603,9.45305256036497 45.5483064783432,9.45453260870202 45.5569616335887,9.45685155639433 45.5553772545968,9.45879052685108 45.5543433976969,9.46443291982977 45.5534385138414,9.46923344378214 45.5545349926058,9.47117274007861 45.5551030587198,9.47275264996555 45.5555915639228,9.47471951973331 45.5563844745814,9.47595801584322 45.556934391431,9.47618557442735 45.5570354360442,9.47745918668172 45.5576511648161,9.48142538789264 45.5629989740411,9.48683309308387 45.5605458510705)))"
Inveruno,"MULTIPOLYGON (((8.85496655606617 45.5325266916654,8.86237060374871 45.5317527733839,8.8635365251044 45.5315201569495,8.86449748614881 45.5313142916449,8.8680350738292 45.5300043180823,8.87194499103624 45.5282630661995,8.87340178509638 45.5272418256844,8.88164095155756 45.5271479659766,8.88324163963975 45.5271316035892,8.88365513656628 45.5253228742886,8.88418200415519 45.5244053223181,8.88555687688608 45.5220484904823,8.88837456204388 45.5216552502815,8.89087435502266 45.5201005192852,8.89410832108102 45.5161342047331,8.8887657180666 45.5115837125396,8.87510065175213 45.509607414637,8.87326025670921 45.5091688401433,8.87223928611778 45.5088481733718,8.8717045123879 45.5086315675976,8.87191673124514 45.5078937574861,8.86660726908188 45.5069470641166,8.85969138846532 45.505953183852,8.8503645453276 45.5054643107586,8.84811120896447 45.5054163298885,8.84668991892964 45.5055854407395,8.84612445631515 45.5064037643993,8.84540340810881 45.5079419312866,8.83921535404469 45.5052781422448,8.83450880479857 45.5039302941477,8.8332048034475 45.507717759517,8.828935774874 45.5098176259299,8.82706284821934 45.5111019384284,8.82568916571935 45.5123689542012,8.823450779166 45.515839841629,8.82325776115481 45.5161455610614,8.82305118163047 45.5167033018281,8.82284403579642 45.5174320513917,8.82202691079527 45.5207790720283,8.82122137483243 45.5244681578775,8.81672782569527 45.5281423638493,8.82079668153358 45.5291749095194,8.8286563616666 45.530177057701,8.83237069799192 45.5299755405019,8.83220833428705 45.5285891856934,8.8325068036498 45.5272574982479,8.83277734292302 45.5267088484728,8.83348339071704 45.5261158377735,8.84312384488629 45.5267415358209,8.84561912368683 45.5273659834146,8.84895690581948 45.5290176016241,8.84839000723046 45.5302949465988,8.84883756774864 45.5305385683986,8.85644799210223 45.5341487115162,8.8564891594973 45.5330596685619,8.85496655606617 45.5325266916654)))"
